Shipping Mode,Sales per customer,Benefit per order,Order Item Quantity,Actual Delivery Status,Predicted Delivery Status,Late Delivery Risk %,Risk Category,AI Recommendation
Second Class,174.5700073,5.239999771,3,Late,Late,80.94,High Risk,Expedite shipment immediately
Standard Class,347.980011,34.79999924,1,Late,On Time,40.93,Low Risk,Standard delivery process
First Class,335.980011,37.97000122,1,Late,Late,95.94,High Risk,Expedite shipment immediately
Standard Class,175.9900055,65.12000275,1,On Time,On Time,39.68,Low Risk,Standard delivery process
Standard Class,399.980011,10.0,1,Late,On Time,38.82,Low Risk,Standard delivery process
Standard Class,347.980011,-110.3099976,1,On Time,On Time,43.44,Low Risk,Standard delivery process
Second Class,347.980011,93.95999908,1,Late,Late,76.77,Medium Risk,Monitor shipment closely
Same Day,363.9599915,171.0599976,4,Late,Late,53.85,Medium Risk,Monitor shipment closely
First Class,351.980011,105.5899963,1,Late,Late,96.09,High Risk,Expedite shipment immediately
Standard Class,59.38999939,-14.13000011,1,On Time,On Time,40.09,Low Risk,Standard delivery process
Second Class,107.4899979,31.17000008,4,Late,Late,81.64,High Risk,Expedite shipment immediately
Standard Class,113.9800034,11.39999962,2,On Time,On Time,40.23,Low Risk,Standard delivery process
Same Day,124.7900009,26.57999992,1,On Time,Late,50.12,Medium Risk,Monitor shipment closely
First Class,263.980011,66.0,1,Late,Late,95.87,High Risk,Expedite shipment immediately
Standard Class,107.8899994,31.29000092,1,Late,On Time,40.89,Low Risk,Standard delivery process
First Class,371.980011,120.8899994,1,Late,Late,95.72,High Risk,Expedite shipment immediately
Standard Class,150.0,50.70000076,4,On Time,On Time,42.02,Low Risk,Standard delivery process
Standard Class,236.1600037,82.65000153,5,On Time,On Time,39.51,Low Risk,Standard delivery process
Second Class,189.9900055,66.5,1,On Time,Late,80.77,High Risk,Expedite shipment immediately
Standard Class,245.0,82.80999756,5,Late,On Time,36.81,Low Risk,Standard delivery process
Second Class,179.9700012,20.34000015,4,Late,Late,79.91,Medium Risk,Monitor shipment closely
Same Day,43.97999954,4.96999979,1,On Time,Late,50.97,Medium Risk,Monitor shipment closely
Standard Class,251.9799957,-176.3899994,1,Late,On Time,39.16,Low Risk,Standard delivery process
Standard Class,339.980011,-51.0,1,On Time,On Time,42.57,Low Risk,Standard delivery process
First Class,167.9600067,78.94000244,5,Late,Late,96.37,High Risk,Expedite shipment immediately
